10,1,11
39,1,11
39,56,6
50,1,9
70,1,15
70,46,8
93,1,14
108,12,9
108,42,4
135,33,15
158,58,11
158,81,3
180,29,15
192,19,12
192,66,7
203,10,12
223,26,15
223,48,9
245,48,13
267,69,17
267,89,9
291,41,8
306,51,13
306,78,5
334,85,13
361,53,11
361,140,5
388,79,10
410,105,9
410,120,8
435,128,14
449,105,12
449,157,9
469,130,7
480,142,6
480,162,6
496,153,16
517,123,12
517,205,3
529,135,19
546,157,7
546,173,5
569,178,14
598,146,11
598,230,9
608,134,12
630,113,12
630,183,8
655,139,10
678,114,10
678,182,4
688,117,19
716,151,11
716,172,8
731,130,9
754,150,16
754,187,5
767,135,12
784,145,18
784,173,6
799,127,7
825,147,19
825,170,8
849,176,12
875,203,7
875,216,4
889,186,7
918,154,12
918,242,7
937,175,9
962,199,14
962,232,5
977,217,5
990,201,6
990,257,7
1001,210,15
1023,228,12
1023,251,8
1036,211,13
1051,225,12
1051,246,5
1074,194,12
1095,221,8
1095,237,9
1111,197,16
1130,177,16
1130,238,7
1157,211,7
1176,225,13
1176,245,3
1189,239,11
1207,216,12
1207,276,5
1235,240,18
1255,266,9
1255,294,6
1279,289,9
1297,263,11
1297,331,4
1320,140,111
